Sample no.,Latitude,Longitude,Elevation,id,Species,Date,Time,Note,% dieback,Seed,Seed_amount,,,,,,,,,,,,,,
MON0005,-37.1164019,149.3649127,,1,E. radiata,10/12/2019,1420,White Rock Ck road north - Outlands Rd at creek,NA,Yes,0.3,,,,,,,,,,,,,,
MON0004,-37.13573317,149.3556228,,2,E. dives,10/12/2019,1340,White Rock Ck picnic area,NA,Yes,0.5,,,,,,,,,,,,,,
MON0003,-37.14367994,149.4329959,,3,E. dives,10/12/2019,1142,Laings Rd sth of Nungatta juncition,NA,Yes,0.4,,,,,,,,,,,,,,
MON0002,-37.13042467,149.4340032,,4,E. dives,10/12/2019,1120,Imlay Rd 46 km from ?,NA,Yes,0.6,,,,,,,,,,,,,,
MON0001,-37.13285507,149.4232263,,5,E. viminalis,10/12/2019,1103,Imlay Rd 48km from ?,NA,Yes,<0.1,,,,,,,,,,,,,,
MON0000,-37.13611692,149.3636495,,6,E. radiata,10/12/2019,1025,Imlay Rd 50.5 km from ?,NA,Yes,0.3,,,,,,,,,,,,,,
MON0006,-37.1364527,149.3226365,,7,E. elata,10/12/2019,1455,Imlay Road - creek gully near gravel pit 56km Coastal peppermint. V. long leaves,NA,Yes,0.5,,,,,,,,,,,,,,
MON0007,-37.1317084,149.3399581,,8,E. radiata,10/12/2019,1657,Cool Rd 1 km,NA,Yes,0.2,,,,,,,,,,,,,,
MON0008,-37.13648189,149.3181453,,9,E. viminalis,10/12/2019,1720,Bondi Creek Coopers Crossing,NA,Yes,0.2,,,,,,,,,,,,,,
MON0009,-36.96649425,149.2269262,,10,E. viminalis,10/12/2019,1805,Girrawheen - Monaro Highway,NA,Yes,0.2,,,,,,,,,,,,,,
MON0010,-36.87564312,149.3083402,,11,E. viminalis,11/12/2019,815,Bombala-Cathcart Rd,NA,Yes,0.5,,,,,,,,,,,,,,
MON0011,-36.86763819,149.3228058,,12,E. pauciflora,11/12/2019,835,Bombala-Cathcart Rd 2,NA,Yes,0.9,,,,,,,,,,,,,,
MON0012,-36.86760667,149.3228846,,13,E. viminalis,11/12/2019,840,Bombala-Cathcart Rd 2,NA,Yes,0.2,,,,,,,,,,,,,,
MON0013,-36.84215792,149.3759409,,14,E. viminalis,11/12/2019,900,Cathcart 1km west,NA,Yes,0.1,,,,,,,,,,,,,,
MON0014,-36.84280399,149.3792658,,15,E. pauciflora,11/12/2019,916,Cathcart near town,NA,Yes,0.6,,,,,,,,,,,,,,
MON0015,-36.84342564,149.4051546,,16,E. pauciflora,11/12/2019,930,5449 Mt Darragh Road,NA,Yes,0.5,,,,,,,,,,,,,,
MON0016,-36.83783295,149.4819625,,17,E. viminalis,11/12/2019,942,Mt Darragh Rd 1km east of Cathcart Trig Rd junction,NA,Yes,0.5,,,,,,,,,,,,,,
MON0017,-36.84260315,149.5004605,,18,E. dives,11/12/2019,1001,Mt Darragh Rd 2km east of CathcartTrig Rd junction,NA,Yes,0.1,,,,,,,,,,,,,,
MON0018,-36.84166519,149.5023632,,19,E. viminalis,11/12/2019,1015,Mt Darragh Rd just west of Rayners Rd junction,NA,Yes,0.3,,,,,,,,,,,,,,
MON0019,-36.84435426,149.5250065,,20,E. fastigata,11/12/2019,1100,Mt Darragh - east 1km,NA,Yes,0.5,,,,,,,,,,,,,,
MON0020,-36.83065222,149.4322046,,21,E. pauciflora,11/12/2019,1121,Tantawangalo Mountain Rd 1,NA,Yes,0.3,,,,,,,,,,,,,,
MON0021,-36.82312287,149.4357602,,22,E. viminalis,11/12/2019,1133,Tantawangalo Mountain Rd 2,NA,Yes,0.2,,,,,,,,,,,,,,
MON0022,-36.82159271,149.4364938,,23,E. stellulata,11/12/2019,1140,Horseys Swamp Creek,NA,Yes,<0.1,,,,,,,,,,,,,,
MON0023,-36.80897199,149.4525558,,24,E. radiata,11/12/2019,1155,Tantawangalo Mountain Rd 3,NA,Yes,0.4,,,,,,,,,,,,,,
MON0024,-36.80160284,149.4649687,,25,E. radiata,11/12/2019,1215,Tantawangalo Mountain Road 4,NA,Yes,0.2,,,,,,,,,,,,,,
MON0025,-36.6037369,149.4373366,,26,E. pauciflora,11/12/2019,1507,Glenbog State Forest entrance - SM Highway,NA,Yes,0.2,,,,,,,,,,,,,,
MON0026,-36.6037369,149.4373785,,27,E. stellulata,11/12/2019,1510,Glenbog State Forest entrance - SM Highway,NA,Yes,0.5,,,,,,,,,,,,,,
MON0027,-36.60386267,149.4372527,,28,E. viminalis,11/12/2019,1515,Glenbog State Forest entrance - SM Highway,NA,Yes,0.2,,,,,,,,,,,,,,
MON0028,-36.59074181,149.3255502,,29,E. pauciflora,11/12/2019,1530,Smowy Mountains Highway - coords reading from phone wrong,NA,Yes,0.2,,,,,,,,,,,,,,
MON0029,-36.58341152,149.3177738,,30,E. viminalis,11/12/2019,1555,Steeple Flat Snowy Mountains Highway,NA,Yes,0.1,,,,,,,,,,,,,,
MON0030,-36.58637199,149.3198143,,31,E. pauciflora,11/12/2019,1602,Steeple Flat - Snowy Mountains Highway,NA,Yes,0.9,,,,,,,,,,,,,,
MON0031,-36.53093041,149.2881417,,32,E. viminalis,11/12/2019,1640,Williams Rest Area south 2km - Snowy Mountains Highway,NA,Yes,<0.1,,,,,,,,,,,,,,
MON0032,,,,,,,,,,Yes,0.1,Add info from packet,,,,,,,,,,,,,
MON0033,,,,,,,,,,Yes,0.2,,,,,,,,,,,,,,
MON0034,-36.5237123,149.2457174,,33,E. viminalis,22/12/2019,1535,Springfield Road - Nimmitabel,NA,Yes,0.3,,,,,,,,,,,,,,
